Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Aug,2020
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Aug,2020
SpaceX,Pad A,Boca Chica,Texas,USA,Aug,2020
Roscosmos,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,Jul,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2020
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jul,2020
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,2020
CASC,LC-101,Wenchang Satellite Launch Center,,China,Jul,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2020
JAXA,LA-Y1,Tanegashima Space Center,,Japan,Jul,2020
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Jul,2020
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Jul,2020
CASC,LC-3,Xichang Satellite Launch Center,,China,Jul,2020
IAI,Pad 1,Palmachim Airbase,,Israel,Jul,2020
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jul,2020
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Jul,2020
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jul,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
CASC,LC-2,Xichang Satellite Launch Center,,China,Jun,2020
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jun,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Jun,2020
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jun,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,May,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2020
CASC,Xichang Satellite Launch Center,China,,,May,2020
Virgin Orbit,Cosmic Girl,Mojave Air and Space Port,California,USA,May,2020
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2020
MHI,LA-Y2,Tanegashima Space Center,,Japan,May,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2020
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,May,2020
CASC,LC-101,Wenchang Satellite Launch Center,,China,May,2020
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Apr,2020
IRGC,Launch Plateform,Shahrud Missile Test Site,,,Apr,2020
CASC,LC-2,Xichang Satellite Launch Center,,China,Apr,2020
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2020
CASC,LC-3,Xichang Satellite Launch Center,,China,Mar,2020
