Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2020
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,2020
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Feb,2020
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Dec,2019
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,2019
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Aug,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,2019
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Jul,2019
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2019
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Dec,2018
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,2018
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,2018
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,2018
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,2018
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,2018
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,2018
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Feb,2018
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,2017
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Nov,2017
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2017
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Jun,2016
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2016
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Apr,2016
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,2016
