Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Aug,2020
SpaceX,Pad A,Boca Chica,Texas,USA,Aug,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2020
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Jul,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2020
Virgin Orbit,Cosmic Girl,Mojave Air and Space Port,California,USA,May,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Apr,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2020
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Feb,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jan,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Dec,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,2019
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2019
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Oct,2019
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2019
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2019
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jun,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,May,2019
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Apr,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Apr,2019
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jan,2019
ULA,SLC-6,Vandenberg AFB,California,USA,Jan,2019
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jan,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Dec,2018
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Nov,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Oct,2018
ULA,SLC-2W,Vandenberg AFB,California,USA,Sep,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2018
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jul,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2018
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jul,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,May,2018
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,May,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2018
ULA,SLC-3E,Vandenberg AFB,California,USA,May,2018
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Apr,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Mar,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Feb,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Feb,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2018
ULA,SLC-6,Vandenberg AFB,California,USA,Jan,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Dec,2017
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Dec,2017
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2017
ULA,SLC-2W,Vandenberg AFB,California,USA,Nov,2017
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2017
Northrop,SLC-576E,Vandenberg AFB,California,USA,Oct,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Oct,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Oct,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Oct,2017
ULA,SLC-3E,Vandenberg AFB,California,USA,Sep,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Sep,2017
Northrop,SLC-46,Cape Canaveral AFS,Florida,USA,Aug,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Aug,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Aug,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jul,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jun,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2017
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2017
ULA,SLC-3E,Vandenberg AFB,California,USA,Mar,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Feb,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jan,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2016
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Dec,2016
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,2016
ULA,SLC-3E,Vandenberg AFB,California,USA,Nov,2016
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Oct,2016
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Oct,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2016
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,2016
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jun,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2016
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jun,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2016
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Apr,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2016
ULA,SLC-6,Vandenberg AFB,California,USA,Feb,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,2016
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jan,2016
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jan,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2015
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Nov,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2015
ULA,SLC-3E,Vandenberg AFB,California,USA,Oct,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2015
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2015
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Apr,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2015
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2015
ULA,SLC-2W,Vandenberg AFB,California,USA,Jan,2015
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2015
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2015
ULA,SLC-3E,Vandenberg AFB,California,USA,Dec,2014
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2014
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Oct,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2014
ULA,SLC-3E,Vandenberg AFB,California,USA,Aug,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2014
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2014
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Jul,2014
ULA,SLC-2W,Vandenberg AFB,California,USA,Jul,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2014
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2014
ULA,SLC-3E,Vandenberg AFB,California,USA,Apr,2014
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Feb,2014
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2014
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Jan,2014
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2014
ULA,SLC-3E,Vandenberg AFB,California,USA,Dec,2013
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2013
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Nov,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,2013
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Sep,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2013
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Sep,2013
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Sep,2013
ULA,SLC-6,Vandenberg AFB,California,USA,Aug,2013
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,2013
Northrop,Stargazer,Vandenberg AFB,California,USA,Jun,2013
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2013
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Apr,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2013
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2013
ULA,SLC-3E,Vandenberg AFB,California,USA,Feb,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2013
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2012
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,2012
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Oct,2012
ULA,SLC-3E,Vandenberg AFB,California,USA,Sep,2012
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2012
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jun,2012
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,2012
Northrop,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Jun,2012
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2012
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2012
ULA,SLC-6,Vandenberg AFB,California,USA,Apr,2012
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,2012
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jan,2012
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,2011
ULA,SLC-2W,Vandenberg AFB,California,USA,Oct,2011
Northrop,LP-1,Pacific Spaceport Complex,Alaska,USA,Sep,2011
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Sep,2011
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2011
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,2011
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,2011
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Jun,2011
ULA,SLC-2W,Vandenberg AFB,California,USA,Jun,2011
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2011
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,May,2011
ULA,SLC-3E,Vandenberg AFB,California,USA,Apr,2011
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2011
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2011
Northrop,SLC-576E,Vandenberg AFB,California,USA,Mar,2011
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2011
Northrop,SLC-8,Vandenberg AFB,California,USA,Feb,2011
ULA,SLC-6,Vandenberg AFB,California,USA,Jan,2011
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2010
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Nov,2010
Northrop,LP-1,Pacific Spaceport Complex,Alaska,USA,Nov,2010
ULA,SLC-2W,Vandenberg AFB,California,USA,Nov,2010
Northrop,SLC-8,Vandenberg AFB,California,USA,Sep,2010
ULA,SLC-3E,Vandenberg AFB,California,USA,Sep,2010
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2010
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2010
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,2010
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2010
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2010
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,2010
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2010
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,2010
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2010
ULA,SLC-2W,Vandenberg AFB,California,USA,Dec,2009
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2009
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,2009
NASA,LC-39B,Kennedy Space Center,Florida,USA,Oct,2009
ULA,SLC-3E,Vandenberg AFB,California,USA,Oct,2009
ULA,SLC-2W,Vandenberg AFB,California,USA,Oct,2009
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Sep,2009
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,2009
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,2009
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Jul,2009
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jun,2009
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,2009
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,May,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2009
ULA,SLC-2W,Vandenberg AFB,California,USA,May,2009
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2009
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,2009
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Mar,2009
Northrop,SLC-576E,Vandenberg AFB,California,USA,Feb,2009
ULA,SLC-2W,Vandenberg AFB,California,USA,Feb,2009
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jan,2009
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,2008
ULA,SLC-2W,Vandenberg AFB,California,USA,Oct,2008
Northrop,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Oct,2008
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Sep,2008
ULA,SLC-2W,Vandenberg AFB,California,USA,Sep,2008
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Aug,2008
ULA,SLC-2W,Vandenberg AFB,California,USA,Jun,2008
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,2008
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,2008
Northrop,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Apr,2008
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2008
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,2008
ULA,SLC-3E,Vandenberg AFB,California,USA,Mar,2008
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,2008
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,2008
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,2007
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2007
ULA,SLC-2W,Vandenberg AFB,California,USA,Dec,2007
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Nov,2007
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,2007
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,2007
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2007
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Sep,2007
ULA,SLC-2W,Vandenberg AFB,California,USA,Sep,2007
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,2007
ULA,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,2007
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,2007
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,2007
ULA,SLC-2W,Vandenberg AFB,California,USA,Jun,2007
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,2007
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Apr,2007
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Mar,2007
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2007
ULA,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,2007
Northrop,LP-0B,Wallops Flight Facility,Virginia,USA,Dec,2006
ULA,SLC-2W,Vandenberg AFB,California,USA,Dec,2006
NASA,LC-39B,Kennedy Space Center,Florida,USA,Dec,2006
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,2006
Boeing,SLC-6,Vandenberg AFB,California,USA,Nov,2006
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,2006
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,2006
NASA,LC-39B,Kennedy Space Center,Florida,USA,Sep,2006
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,2006
Boeing,SLC-6,Vandenberg AFB,California,USA,Jun,2006
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,2006
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,May,2006
Boeing,SLC-2W,Vandenberg AFB,California,USA,Apr,2006
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2006
Northrop,SLC-8,Vandenberg AFB,California,USA,Apr,2006
Northrop,Stargazer,Vandenberg AFB,California,USA,Mar,2006
SpaceX,Omelek Island,Ronald Reagan Ballistic Missile Defense Test Site,Marshall Islands,USA,Mar,2006
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2006
Lockheed,SLC-4E,Vandenberg AFB,California,USA,Oct,2005
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,2005
Northrop,SLC-8,Vandenberg AFB,California,USA,Sep,2005
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2005
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,2005
Boeing,SLC-2W,Vandenberg AFB,California,USA,May,2005
Lockheed,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2005
Northrop,Stargazer,Vandenberg AFB,California,USA,Apr,2005
Northrop,SLC-8,Vandenberg AFB,California,USA,Apr,2005
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2005
Lockheed,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,2005
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,2005
Boeing,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2004
ILS,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2004
Boeing,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,2004
Boeing,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,2004
Lockheed,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,2004
